Q-type	d	M	nbits	norm	T-num	V-num	C-size	T-ms	VE-ms	VD-ms	TE-ms	TD-ms	V-err	T-err
PQ	8	4	8	False	10000	20000	4	606	2	8	5	0	0.001041	0.000912
PQ	16	4	8	False	10000	20000	4	616	16	3	5	0	0.016408	0.014458
PQ	32	4	8	False	10000	20000	4	624	10	0	10	0	0.066157	0.058270
PQ	64	4	8	False	10000	20000	4	625	25	0	13	0	0.140398	0.124283
PQ	128	4	8	False	10000	20000	4	632	29	5	15	5	0.192824	0.174078
PQ	256	4	8	False	10000	20000	4	670	31	8	16	4	0.221801	0.204618
PQ	512	4	8	False	10000	20000	4	762	36	16	16	7	0.237264	0.222501
PQ	8	4	8	True	10000	20000	4	603	10	0	5	0	0.001397	0.001218
PQ	16	4	8	True	10000	20000	4	599	10	0	5	0	0.018238	0.015815
PQ	32	4	8	True	10000	20000	4	605	15	0	10	0	0.067040	0.058678
PQ	64	4	8	True	10000	20000	4	615	28	2	10	0	0.139752	0.123362
PQ	128	4	8	True	10000	20000	4	625	29	5	17	0	0.192368	0.173273
PQ	256	4	8	True	10000	20000	4	668	29	6	15	5	0.221466	0.204719
PQ	512	4	8	True	10000	20000	4	757	47	10	20	5	0.237177	0.222592
RQ	8	4	8	False	10000	20000	4	8064	116	0	67	0	0.001423	0.001223
RQ	16	4	8	False	10000	20000	4	8189	125	0	69	0	0.022151	0.017694
RQ	32	4	8	False	10000	20000	4	8375	134	0	73	0	0.079362	0.062414
RQ	64	4	8	False	10000	20000	4	9338	184	0	95	1	0.145473	0.113168
RQ	128	4	8	False	10000	20000	4	10149	244	0	119	6	0.195604	0.155126
RQ	256	4	8	False	10000	20000	4	11630	383	0	199	0	0.225995	0.184478
RQ	512	4	8	False	10000	20000	4	15919	564	6	294	0	0.243239	0.202069
RQ	8	4	8	True	10000	20000	4	8664	124	0	64	0	0.001173	0.000989
RQ	16	4	8	True	10000	20000	4	8795	134	0	71	0	0.019895	0.016077
RQ	32	4	8	True	10000	20000	4	9011	147	0	71	9	0.076383	0.059579
RQ	64	4	8	True	10000	20000	4	9369	180	0	94	0	0.143744	0.111679
RQ	128	4	8	True	10000	20000	4	10224	259	0	125	0	0.194553	0.154458
RQ	256	4	8	True	10000	20000	4	11694	374	0	196	5	0.225580	0.184081
RQ	512	4	8	True	10000	20000	4	15968	571	9	294	1	0.243058	0.202052
LSQ	8	4	8	False	10000	20000	4	13260	1185	0	593	0	0.006720	0.006703
LSQ	16	4	8	False	10000	20000	4	13704	1185	0	595	0	0.026686	0.025122
LSQ	32	4	8	False	10000	20000	4	13748	1209	0	597	0	0.077829	0.062099
LSQ	64	4	8	False	10000	20000	4	13829	1240	0	624	0	0.143896	0.106187
LSQ	128	4	8	False	10000	20000	4	13033	1288	0	639	0	0.196277	0.148595
LSQ	256	4	8	False	10000	20000	4	17580	1389	3	689	0	0.227976	0.179134
LSQ	512	4	8	False	10000	20000	4	18184	1575	3	803	0	0.244386	0.198852
LSQ	8	4	8	True	10000	20000	4	12753	1175	0	592	0	0.005934	0.005887
LSQ	16	4	8	True	10000	20000	4	13010	1194	0	592	0	0.024605	0.023220
LSQ	32	4	8	True	10000	20000	4	12729	1224	0	604	0	0.075323	0.060307
LSQ	64	4	8	True	10000	20000	4	13285	1239	0	625	0	0.142269	0.105096
LSQ	128	4	8	True	10000	20000	4	13588	1271	0	650	0	0.195424	0.148136
LSQ	256	4	8	True	10000	20000	4	16890	1377	2	690	0	0.227687	0.178915
LSQ	512	4	8	True	10000	20000	4	18254	1554	5	799	5	0.244291	0.198802
